"TIMESTAMP","FORECAST"
"20131101 1:00",0.352431987600798
"20131101 2:00",0.353466331065217
"20131101 3:00",0.353514366499588
"20131101 4:00",0.352595222179524
"20131101 5:00",0.353642775909409
"20131101 6:00",0.353845410758322
"20131101 7:00",0.331335978649532
"20131101 8:00",0.138229843128423
"20131101 9:00",0.0637705711606195
"20131101 10:00",0.0336001881372724
"20131101 11:00",0.0337368830689212
"20131101 12:00",0.0337671286907571
"20131101 13:00",0.0336254440617115
"20131101 14:00",0.0334007923453407
"20131101 15:00",0.0301802504960043
"20131101 16:00",0.0337705301762053
"20131101 17:00",0.0335873093379545
"20131101 18:00",0.0337157733435912
"20131101 19:00",0.0336020929986727
"20131101 20:00",0.0307807377526104
"20131101 21:00",0.0336531753451145
"20131101 22:00",0.0336187072789916
"20131101 23:00",0.0401424827317426
"20131102 0:00",0.114641910823967
"20131102 1:00",0.444966794885474
"20131102 2:00",0.494046352685831
"20131102 3:00",0.597993517078054
"20131102 4:00",0.691045144805482
"20131102 5:00",0.752216592465815
"20131102 6:00",0.682743843267586
"20131102 7:00",0.592610254235392
"20131102 8:00",0.575518297219675
"20131102 9:00",0.57818021503302
"20131102 10:00",0.470236116438812
"20131102 11:00",0.417314357519327
"20131102 12:00",0.326915166607715
"20131102 13:00",0.477694416202972
"20131102 14:00",0.655904981161032
"20131102 15:00",0.302947391791738
"20131102 16:00",0.353966853637597
"20131102 17:00",0.501590791890414
"20131102 18:00",0.587787378135542
"20131102 19:00",0.484779262540348
"20131102 20:00",0.379216941814339
"20131102 21:00",0.457219271396598
"20131102 22:00",0.580546524855417
"20131102 23:00",0.573536462917041
"20131103 0:00",0.55530655467536
"20131103 1:00",0.458807003755762
"20131103 2:00",0.46194968066773
"20131103 3:00",0.680171327924143
"20131103 4:00",0.695788560971998
"20131103 5:00",0.68266855494096
"20131103 6:00",0.682596669132154
"20131103 7:00",0.682326588974028
"20131103 8:00",0.681440738207794
"20131103 9:00",0.583880658959824
"20131103 10:00",0.463638329200913
"20131103 11:00",0.367047584850999
"20131103 12:00",0.586651838322835
"20131103 13:00",0.604406133975937
"20131103 14:00",0.67952428488295
"20131103 15:00",0.739910515639832
"20131103 16:00",0.795198686811768
"20131103 17:00",0.822665897344703
"20131103 18:00",0.859692981714524
